"Code Article";"Description";"Description 2";"Code Famille";"Titre Famille";"Sous-famille";"Nomenclature";"Pays d'origine";"Section";"Unité de mesure";"Code à Barres";"Code Barres Fournisseur";"Prix Unitaire";"Remise Promotion";"Prix d'Achat de Défaut";"TVA";"Existance";"Inventaire de Sécurité";"Commentaires";"Catégorie";"Fabriqué";"Suivi de Produit";"Coût par Numéro de Série";"Inactive"
"RTM356757";"(SEM IVA)(EXCELLENT) Samsung S24 Ultra 256GB Titanium Yellow";"";"com margem IVA";"Seminovos (com margem IVA)";"Samsung S24 Ultra";"Samsung";"";"";"Uni";"5600358356757";"";"0,00";"0";"0,00";"0";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM343252";"(SEM IVA)(EXCELLENT) Samsung S24 Ultra 512GB Titanium Black";"S928B DS";"com margem IVA";"Seminovos (com margem IVA)";"Samsung";"Samsung";"";"";"Uni";"5600358343252";"";"0,00";"0";"0,00";"0";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM356436";"(SEM IVA)(EXCELLENT) Samsung S24 Ultra 512GB Titanium Blue";"";"com margem IVA";"Seminovos (com margem IVA)";"Samsung S24 Ultra";"Samsung";"";"";"Uni";"5600358356436";"";"0,00";"0";"0,00";"0";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM333574";"(SEM IVA)(EXCELLENT) Samsung S24 Ultra 512GB Titanium Gray";"";"com margem IVA";"Seminovos (com margem IVA)";"Samsung S24 Ultra";"Samsung";"";"";"Uni";"5600358333574";"";"0,00";"0";"0,00";"0";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM356450";"(SEM IVA)(EXCELLENT) Samsung S24 Ultra 512GB Titanium Green";"";"com margem IVA";"Seminovos (com margem IVA)";"Samsung S24 Ultra";"Samsung";"";"";"Uni";"5600358356450";"";"0,00";"0";"0,00";"0";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM356443";"(SEM IVA)(EXCELLENT) Samsung S24 Ultra 512GB Titanium Orange";"";"com margem IVA";"Seminovos (com margem IVA)";"Samsung S24 Ultra";"Samsung";"";"";"Uni";"5600358356443";"";"0,00";"0";"0,00";"0";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM350687";"(SEM IVA)(EXCELLENT) Samsung S24 Ultra 512GB Titanium Violet";"";"com margem IVA";"Seminovos (com margem IVA)";"Samsung S24 Ultra";"Samsung";"";"";"Uni";"5600358350687";"";"0,00";"0";"0,00";"0";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM350670";"(SEM IVA)(EXCELLENT) Samsung S24 Ultra 512GB Titanium Yellow";"";"com margem IVA";"Seminovos (com margem IVA)";"Samsung S24 Ultra";"Samsung";"";"";"Uni";"5600358350670";"";"0,00";"0";"0,00";"0";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM310469";"(SEM IVA)(EXCELLENT) Samsung S24 Ultra 5G 512GB";"Titanium Gray SM-S928B DS";"com margem IVA";"Seminovos (com margem IVA)";"Samsung S23 Ultra";"Samsung";"";"";"Uni";"5600358310469";"";"0,00";"0";"0,00";"0";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM375901";"(SEM IVA)(EXCELLENT) Samsung S25 256GB Ice Blue";"";"com margem IVA";"Seminovos (com margem IVA)";"Samsung";"Samsung";"";"";"Uni";"5600358375901";"";"0,00";"0";"0,00";"0";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM375918";"(SEM IVA)(EXCELLENT) Samsung S25 256GB Mint";"";"com margem IVA";"Seminovos (com margem IVA)";"Samsung";"Samsung";"";"";"Uni";"5600358375918";"";"0,00";"0";"0,00";"0";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM375895";"(SEM IVA)(EXCELLENT) Samsung S25 256GB Navy";"";"com margem IVA";"Seminovos (com margem IVA)";"Samsung";"Samsung";"";"";"Uni";"5600358375895";"";"0,00";"0";"0,00";"0";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM358904";"(SEM IVA)(EXCELLENT) Samsung S25 256GB Silver Shadow";"";"com margem IVA";"Seminovos (com margem IVA)";"Samsung";"Samsung";"";"";"Uni";"5600358358904";"";"0,00";"0";"0,00";"0";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM383371";"(SEM IVA)(EXCELLENT) Samsung S25 Ultra 256GB Titanium";"Whitesilver";"com margem IVA";"Seminovos (com margem IVA)";"Samsung S25 Ultra";"Samsung";"";"";"Uni";"5600358383371";"";"0,00";"0";"0,00";"20";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM382053";"(SEM IVA)(EXCELLENT) Samsung S25 Ultra 256GB Titanium";"Silverblue";"com margem IVA";"Seminovos (com margem IVA)";"Samsung S25 Ultra";"Samsung";"";"";"Uni";"5600358382053";"";"0,00";"0";"0,00";"0";"1";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM384965";"(SEM IVA)(EXCELLENT) Samsung S25 Ultra 256GB Titanium";"Jadegreen";"com margem IVA";"Seminovos (com margem IVA)";"Samsung S25 Ultra";"Samsung";"";"";"Uni";"5600358384965";"";"0,00";"0";"0,00";"20";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM383418";"(SEM IVA)(EXCELLENT) Samsung S25 Ultra 256GB Titanium";"Jetblack";"com margem IVA";"Seminovos (com margem IVA)";"Samsung S25 Ultra";"Samsung";"";"";"Uni";"5600358383418";"";"0,00";"0";"0,00";"20";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM383401";"(SEM IVA)(EXCELLENT) Samsung S25 Ultra 256GB Titanium Black";"";"com margem IVA";"Seminovos (com margem IVA)";"Samsung S25 Ultra";"Samsung";"";"";"Uni";"5600358383401";"";"0,00";"0";"0,00";"20";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM382046";"(SEM IVA)(EXCELLENT) Samsung S25 Ultra 256GB Titanium Gray";"";"com margem IVA";"Seminovos (com margem IVA)";"Samsung S25 Ultra";"Samsung";"";"";"Uni";"5600358382046";"";"0,00";"0";"0,00";"0";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
